ev_folio;keyword;obesidad;id_gestud;estAv
358;_AAABA;0;Bach;0
931;BABBAA;0;Mast;1
25;BBBBBB;1;Sec;0
432;BAAAAA;0;Lic;0
900;_BAAAA;0;Doc;1
507;AAAABA;0;Doc;1
651;_BBBBB;0;Lic;0
560;BBBBBB;0;Doc;1
93;BBBBBB;0;CarTec;0
631;BAAAAA;0;Doc;1
854;_BABBB;0;Lic;0
249;BAAAAA;0;Doc;1
404;AAABBB;0;Lic;0
762;BBBBBB;0;Mast;1
956;_AAABA;0;Lic;0
442;BBBAAB;0;Lic;0
890;AAAABB;0;Sec;0
115;BBBBBB;0;Sec;0
950;_BAAAA;0;Lic;0
666;AAAAAA;0;Mast;1
364;_ABBBB;0;Doc;1
274;BBBBBB;1;Bach;0
1016;_BBBAA;1;Lic;0
665;BBBBBB;1;Doc;1
1060;BBBBBB;0;Sec;0
957;_ABBBB;0;Bach;0
124;_BBBBB;0;Sec;0
1069;_BABAB;0;Lic;0
606;AAABBB;0;Lic;0
430;AABBAA;0;Lic;0
780;_AABBB;0;Mast;1
180;BBBBAA;0;Bach;0
1064;_BABAA;0;Lic;0
208;AAABBB;1;CarTec;0
702;AAAAAA;0;Lic;0
877;BBBBBB;0;Lic;0
111;BBBBBB;0;Sec;0
698;BBAABA;1;Mast;1
391;BBBBBB;0;CarTec;0
942;AAAABB;0;Lic;0
41;BBABAA;0;Doc;1
501;_BBBBB;0;Lic;0
1017;AAAAAA;0;CarTec;0
439;_BBBBB;0;Prim;0
964;_ABAAA;0;Mast;1
891;BBBBBB;0;Bach;0
132;AABBBA;1;Doc;1
872;_AABAB;0;Mast;1
864;BBBBBB;0;Lic;0
450;BBBBBB;0;CarTec;0
571;AAABBA;0;Sec;0
196;AAAAAB;0;Lic;0
733;AAABBB;1;Lic;0
550;BBBBBA;1;Sec;0
876;_ABBBB;0;Doc;1
707;AAABBB;0;Lic;0
609;_BBBBB;0;Bach;0
83;BBBBBB;1;Prim;0
977;BAAAAB;1;CarTec;0
481;_BABAB;0;Lic;0
95;BBBBBB;0;Bach;0
165;_AAAAA;0;Sec;0
277;_BAABA;0;Bach;0
623;BBBAAB;1;Doc;1
498;_BBBBB;0;Lic;0
384;AAAABB;0;Bach;0
963;BBBBAB;0;Bach;0
1019;BBBAAB;1;Lic;0
99;BBBBBB;0;Sec;0
482;AAAAAB;0;Doc;1
472;_BBBBB;0;Prim;0
796;BAAABA;0;Mast;1
596;BBAABB;1;Mast;1
981;_AAAAB;0;Lic;0
424;AAABBB;1;Bach;0
18;BBBABA;0;Lic;0
1055;_BAAAB;0;Lic;0
78;AAAAAA;0;Lic;0
608;_AAAAA;1;Bach;0
1024;_AAAAA;0;Lic;0
790;_AAAAA;0;Lic;0
1057;AAAABB;0;CarTec;0
241;_BBBBB;0;Sec;0
532;_BAABB;0;Doc;1
70;BAAABB;0;Lic;0
682;BBBBAA;1;Sec;0
224;BBBBBB;0;Lic;0
894;AAAABA;0;Lic;0
427;_BABBB;0;Doc;1
1053;AAABBB;1;Sec;0
242;AAAAAB;0;Mast;1
168;AAABBB;0;Bach;0
330;BBAAAA;0;Prim;0
153;AABBBB;0;Mast;1
613;AAAAAB;0;Doc;1
465;ABBABB;0;Doc;1
591;BAAAAA;0;Lic;0
1051;_AAAAA;0;Doc;1
974;ABBBBB;0;Bach;0
862;_BBBBA;0;Lic;0
871;_AAABB;0;Mast;1
59;AAAAAA;0;Doc;1
394;BBBBBB;0;Sec;0
802;_AAAAA;0;Lic;0
309;BBBBBB;1;Sec;0
1048;BAAAAA;1;Mast;1
67;AAAAAA;0;Mast;1
773;_BBBBB;0;Mast;1
467;BAABAB;1;Bach;0
580;AAAABB;1;Sec;0
445;AAAABB;0;CarTec;0
246;BAAABB;0;Lic;0
1032;BBBABB;0;Sec;0
724;AAAAAA;0;Mast;1
647;BAAAAB;1;Lic;0
574;BBBBBB;0;CarTec;0
929;_AABBB;0;Mast;1
420;BAAAAB;1;Sec;0
182;AAAAAA;0;Doc;1
386;_AABBB;1;Sec;0
212;_AAAAA;0;Mast;1
126;BAAAAB;0;CarTec;0
2;BAAABB;0;Bach;0
568;BBBBAB;0;Prim;0
846;_ABAAB;0;Mast;1
487;_AABBB;0;Lic;0
348;AAAAAB;0;Lic;0
29;AABAAB;0;Doc;1
268;_BBAAA;0;Doc;1
883;BBBBBB;1;Sec;0
455;BBBABB;0;Bach;0
377;BBAABB;1;Doc;1
204;_AAABA;0;Mast;1
368;BBBBBB;1;Prim;0
1059;_AAAAB;1;Lic;0
6;BBBBBA;0;Lic;0
255;_BABBA;0;Lic;0
5;BBBBBB;0;Sec;0
118;AAAAAA;0;Lic;0
116;AAAAAA;0;Sec;0
