,cat,class,classcat,epsilon,feat,nc,ncx,nx
163,AAAB**,Apuesto,Vig,0.419687085249868,saludHistory,34,1,21
164,AAA***,Apuesto,Vig,-1.8764268403768956,saludHistory,34,8,481
165,AABA**,Apuesto,Vig,-1.098769159572142,saludHistory,34,0,37
166,AABB**,Apuesto,Vig,-0.8849346896751212,saludHistory,34,0,24
167,AAB***,Apuesto,Vig,-1.4108164554672853,saludHistory,34,0,61
168,AA*A**,Apuesto,Vig,-2.471631641129025,saludHistory,34,6,494
169,AA*B**,Apuesto,Vig,-0.359564061960898,saludHistory,34,1,45
170,AA****,Apuesto,Vig,-2.2466702016109474,saludHistory,34,8,543
171,ABAA**,Apuesto,Vig,0.3109695575447742,saludHistory,34,2,51
172,ABAB**,Apuesto,Vig,-0.3612730742320373,saludHistory,34,0,4
173,ABA***,Apuesto,Vig,0.20202003665415663,saludHistory,34,2,55
174,ABBA**,Apuesto,Vig,-0.6996022999669183,saludHistory,34,0,15
175,ABBB**,Apuesto,Vig,-0.7663759219487538,saludHistory,34,0,18
176,ABB***,Apuesto,Vig,-1.0376779037166612,saludHistory,34,0,33
177,AB*A**,Apuesto,Vig,-0.06016480889599388,saludHistory,34,2,66
178,AB*B**,Apuesto,Vig,-0.8472604604889038,saludHistory,34,0,22
179,AB****,Apuesto,Vig,-0.47573448316221867,saludHistory,34,2,88
180,A*AA**,Apuesto,Vig,-2.0422705250975555,saludHistory,34,8,508
181,A*AB**,Apuesto,Vig,0.2401403375777661,saludHistory,34,1,25
182,A*A***,Apuesto,Vig,-1.7128365348139383,saludHistory,34,10,536
183,A*BA**,Apuesto,Vig,-1.302588593588119,saludHistory,34,0,52
184,A*BB**,Apuesto,Vig,-1.1706585577072444,saludHistory,34,0,42
185,A*B***,Apuesto,Vig,-1.7513362049815215,saludHistory,34,0,94
186,A**A**,Apuesto,Vig,-2.3420720261829358,saludHistory,34,8,560
187,A**B**,Apuesto,Vig,-0.7801780874892101,saludHistory,34,1,67
188,A*****,Apuesto,Vig,-2.2617894924214115,saludHistory,34,10,631
189,BAAA**,Apuesto,Vig,2.7833283049290305,saludHistory,34,7,82
190,BAAB**,Apuesto,Vig,-0.5712228859321622,saludHistory,34,0,10
191,BAA***,Apuesto,Vig,2.4393834814790765,saludHistory,34,7,92
192,BABA**,Apuesto,Vig,-0.3612730742320373,saludHistory,34,0,4
193,BABB**,Apuesto,Vig,1.6827580647350102,saludHistory,34,1,7
194,BAB***,Apuesto,Vig,1.1245206929522582,saludHistory,34,1,11
195,BA*A**,Apuesto,Vig,2.6399148973443793,saludHistory,34,7,86
196,BA*B**,Apuesto,Vig,0.6416992978249563,saludHistory,34,1,17
197,BA****,Apuesto,Vig,2.672937968582774,saludHistory,34,8,103
198,BBAA**,Apuesto,Vig,-0.2547772980453274,saludHistory,34,5,177
199,BBAB**,Apuesto,Vig,-0.4424673448375606,saludHistory,34,0,6
200,BBA***,Apuesto,Vig,-0.33068403529762896,saludHistory,34,5,183
201,BBBA**,Apuesto,Vig,1.641057304795804,saludHistory,34,5,78
202,BBBB**,Apuesto,Vig,1.020795835718014,saludHistory,34,4,77
203,BBB***,Apuesto,Vig,1.883619430385547,saludHistory,34,9,155
204,BB*A**,Apuesto,Vig,0.6953490696031476,saludHistory,34,10,255
205,BB*B**,Apuesto,Vig,0.864242937959839,saludHistory,34,4,83
