,cat,class,classcat,epsilon,feat,nc,ncx,nx
163,AAAB**,Apuesto,Vig,-0.9224294838367962,estresHistory,34,2,119
164,AAA***,Apuesto,Vig,-1.156727445942452,estresHistory,34,4,222
165,AABA**,Apuesto,Vig,-0.6257433199764914,estresHistory,34,0,12
166,AABB**,Apuesto,Vig,-1.5621924051798102,estresHistory,34,2,179
167,AAB***,Apuesto,Vig,-1.6691671057584734,estresHistory,34,2,191
168,AA*A**,Apuesto,Vig,-0.8839662679651188,estresHistory,34,2,116
169,AA*B**,Apuesto,Vig,-1.7936516156396147,estresHistory,34,4,298
170,AA****,Apuesto,Vig,-1.9896719746764255,estresHistory,34,6,414
171,ABAA**,Apuesto,Vig,-0.3128716599882457,estresHistory,34,0,3
172,ABAB**,Apuesto,Vig,-0.5991036170429408,estresHistory,34,0,11
173,ABA***,Apuesto,Vig,-0.6996022999669183,estresHistory,34,0,15
174,ABBA**,Apuesto,Vig,-0.18063653711601865,estresHistory,34,0,1
175,ABBB**,Apuesto,Vig,2.396228831204093,estresHistory,34,6,75
176,ABB***,Apuesto,Vig,2.359691534533325,estresHistory,34,6,76
177,AB*A**,Apuesto,Vig,-0.3612730742320373,estresHistory,34,0,4
178,AB*B**,Apuesto,Vig,2.023476436072124,estresHistory,34,6,86
179,AB****,Apuesto,Vig,1.843385155849765,estresHistory,34,6,92
180,A*AA**,Apuesto,Vig,-0.749273487594403,estresHistory,34,2,106
181,A*AB**,Apuesto,Vig,-1.0568127788279713,estresHistory,34,2,130
182,A*A***,Apuesto,Vig,-1.295527921038815,estresHistory,34,4,237
183,A*BA**,Apuesto,Vig,-0.6512942967940595,estresHistory,34,0,13
184,A*BB**,Apuesto,Vig,-0.009334001256876327,estresHistory,34,8,254
185,A*B***,Apuesto,Vig,-0.152816028687997,estresHistory,34,8,267
186,A**A**,Apuesto,Vig,-0.9350677712636506,estresHistory,34,2,120
187,A**B**,Apuesto,Vig,-0.6224908233744109,estresHistory,34,10,384
188,A*****,Apuesto,Vig,-1.0137039455672128,estresHistory,34,12,506
189,BAAA**,Apuesto,Vig,-0.6996022999669183,estresHistory,34,0,15
190,BAAB**,Apuesto,Vig,1.6685538855770043,estresHistory,34,3,38
191,BAA***,Apuesto,Vig,1.0406585883235393,estresHistory,34,3,53
192,BABA**,Apuesto,Vig,-0.477919354900874,estresHistory,34,0,7
